Title,Description,Keywords,Dataset Type,Collection Period,Organism,Genes,Tissue/Cell Type,Condition,Technique,Instrument Platform,Software,Usage Restrictions,Related Datasets
"""When I talk about it, my eyes light up!"" Impacts of a national laboratory internship on community college student success","Participation in technical/research internships may improve undergraduate graduation rates and persistence in science, technology, engineering, and mathematics (STEM), yet little is known about the benefits of these activities a) for community college students, b) when hosted by national laboratories, and c) beyond the first few years after the internship. We applied Social Cognitive Career Theory (SCCT) to investigate alumni perspectives about how CCI at Lawrence Berkeley National Laboratory (LBNL) impacted their academic/career activities. We learned that alumni had low confidence and expectations of success in STEM as community college students. Participation in CCI increased their professional networks, expectations of success, and STEM skills, identity, and self-efficacy/confidence. Hispanic/Latinx alumni recalled the positive impact of mentors who prioritized personal connections, and women valued warm social environments. We propose several additions to the SCCT model, to better reflect the supports and barriers to STEM persistence for community college students.","['internship', 'laboratory', 'student', 'college', 'success', 'internships', 'academic', 'alumni', 'undergraduate', 'students', 'scientific communication and education']",,2024-06-27,,,,,,,,cc_by_nc,
The small acid-soluble proteins of Clostridioides difficile regulate sporulation in a SpoIVB2-dependent manner,"Clostridioides difficile is a pathogen whose transmission relies on the formation of dormant endospores. Spores are highly resilient forms of bacteria that resist environmental and chemical insults. In recent work, we found that C. difficile SspA and SspB, two small acid-soluble proteins (SASPs), protect spores from UV damage and, interestingly, are necessary for the formation of mature spores. Here, we build upon this finding and show that C. difficile sspA and sspB are required for the formation of the spore cortex layer. Moreover, using an EMS mutagenesis selection strategy, we identified mutations that suppressed the defect in sporulation of C. difficile SASP mutants. Many of these strains contained mutations in CDR20291_0714 (spoIVB2) revealing a connection between the SpoIVB2 protease and the SASPs in the sporulation pathway. This work builds upon the hypothesis that the small acid-soluble proteins can regulate gene expression.

ImportanceC. difficile is easily spread through the production of highly resistant spores. Understanding how spores are formed could yield valuable insight into how the sporulation process can be halted to render spores that are sensitive to cleaning methods. Here, we identify another protein involved in the sporulation process that is seemingly controlled by the small acid-soluble proteins (SASPs). This discovery allows us to better understand how the C. difficile SASPs may bind to specific sites on the genome to regulate gene expression.","['spoivb2', 'proteins', 'acid', 'sporulation', 'clostridioides', 'bacteria', 'spores', 'pathogen', 'endospores', 'sporulation', 'microbiology']",,2024-06-25,,,,,,,,cc_by,
Periaqueductal gray activates antipredatory neural responses in the amygdala of foraging rats,"Pavlovian fear conditioning research suggests that the interaction between the dorsal periaqueductal gray (dPAG) and basolateral amygdala (BLA) acts as a prediction error mechanism in the formation of associative fear memories. However, their roles in responding to naturalistic predatory threats, characterized by less explicit cues and the absence of reiterative trial-and-error learning events, remain unexplored. In this study, we conducted single-unit recordings in rats during an approach food-avoid predator task, focusing on the responsiveness of dPAG and BLA neurons to a rapidly approaching robot predator. Optogenetic stimulation of the dPAG triggered fleeing behaviors and increased BLA activity in naive rats. Notably, BLA neurons activated by dPAG stimulation displayed immediate responses to the robot, demonstrating heightened synchronous activity compared to BLA neurons that did not respond to dPAG stimulation. Additionally, the use of anterograde and retrograde tracer injections into the dPAG and BLA, respectively, coupled with c-Fos activation in response to predatory threats, indicates that the midline thalamus may play an intermediary role in innate antipredatory defensive functioning.","['rats', 'neural', 'amygdala', 'foraging', 'periaqueductal', 'rats', 'predator', 'antipredatory', 'fear', 'robot', 'neuroscience']",,2024-06-27,,,,,,,,cc_no,
Arpin deficiency increases actomyosin contractility and vascular permeability,"Arpin was discovered as an inhibitor of the Arp2/3 complex localized at the lamellipodial tip of fibroblasts, where it regulated migration steering. Recently, we showed that arpin stabilizes the epithelial barrier in an Arp2/3-dependent manner. However, expression and functions of arpin in endothelial cells (EC) have not yet been described. Arpin mRNA and protein are expressed in EC and downregulated by pro-inflammatory cytokines. Arpin depletion in HUVEC causes the formation of actomyosin stress fibers leading to increased permeability in an Arp2/3-independent manner. Instead, inhibitors of ROCK1 and ZIPK, kinases involved in the generation of stress fibers, normalize the loss-of-arpin effects on actin filaments and permeability. Arpin-deficient mice are viable but show a characteristic vascular phenotype in the lung including edema, microhemorrhage and vascular congestion, increased F-actin levels and vascular permeability. Our data show that, apart from being an Arp2/3 inhibitor, arpin is also a regulator of actomyosin contractility and endothelial barrier integrity.

SUMMARYThe expression and functions of arpin in endothelial cells are unknown. We show that arpin controls actomyosin contractility and endothelial barrier integrity in an Arp2/3-independent manner via ROCK1/ZIPK. Arpin-deficient mice are viable, but also show increased basal and induced vascular permeability.","['vascular', 'permeability', 'increases', 'actomyosin', 'contractility', 'fibroblasts', 'endothelial', 'actomyosin', 'microhemorrhage', 'cytokines', 'cell biology']",,2024-06-25,,,,,,,,cc_by_nc_nd,
Study design features increase replicability in cross-sectional and longitudinal brain-wide association studies,"Brain-wide association studies (BWAS) are a fundamental tool in discovering brain-behavior associations. Several recent studies showed that thousands of study participants are required for good replicability of BWAS because the standardized effect sizes (ESs) are much smaller than the reported standardized ESs in smaller studies. Here, we perform analyses and meta-analyses of a robust effect size index using 63 longitudinal and cross-sectional magnetic resonance imaging studies from the Lifespan Brain Chart Consortium (77,695 total scans) to demonstrate that optimizing study design is critical for increasing standardized ESs and replicability in BWAS. A meta-analysis of brain volume associations with age indicates that BWAS with larger variability in covariate have larger reported standardized ES. In addition, the longitudinal studies we examined reported systematically larger standardized ES than cross-sectional studies. Analyzing age effects on global and regional brain measures from the United Kingdom Biobank and the Alzheimers Disease Neuroimaging Initiative, we show that modifying longitudinal study design through sampling schemes improves the standardized ESs and replicability. Sampling schemes that improve standardized ESs and replicability include increasing between-subject age variability in the sample and adding a single additional longitudinal measurement per subject. To ensure that our results are generalizable, we further evaluate these longitudinal sampling schemes on cognitive, psychopathology, and demographic associations with structural and functional brain outcome measures in the Adolescent Brain and Cognitive Development dataset. We demonstrate that commonly used longitudinal models can, counterintuitively, reduce standardized ESs and replicability. The benefit of conducting longitudinal studies depends on the strengths of the between-versus within-subject associations of the brain and non-brain measures. Explicitly modeling between-versus within-subject effects avoids averaging the effects and allows optimizing the standardized ESs for each separately. Together, these results provide guidance for study designs that improve the replicability of BWAS.","['studies', 'replicability', 'study', 'increase', 'features', 'biobank', 'thousands', 'alzheimers', 'neuroimaging', 'larger', 'neuroscience']",,2024-06-24,,,,,,,,cc_by_nc_nd,
The double-edged role of FASII regulator FabT in Streptococcus pyogenes infection,"In Streptococcus pyogenes, the type II fatty acid (FA) synthesis pathway FASII is feedback-controlled by the FabT repressor bound to an acyl-Acyl carrier protein. Despite FabT defects being linked to reduced virulence in animal models, spontaneous fabT mutants arise in vivo. To resolve this paradox, we characterized the conditions and mechanisms that require FabT activity, and those that promote fabT mutant emergence. The primary fabT mutant defect is energy dissipation: specific nutrients are consumed, but the mutant fails to grow on human tissue, cells, or cell filtrates where nutrients are limited. These features explain the FabT requirement during infection. Conversely, fabT mutants exhibited a marked growth advantage over the wild-type in biotopes rich in saturated FAs. fabT mutants emerge in this context, where continued FASII activity prevented environmental FA incorporation. An ex vivo muscle model demonstrated that wild-type S. pyogenes was inhibited, while fabT mutant growth was stimulated, but conditional to FASII activity. Our findings elucidate the rationale for emerging fabT mutants that improve survival in lipid-rich biotopes, but lead to a genetic impasse for infection.","['streptococcus', 'infection', 'pyogenes', 'double', 'regulator', 'streptococcus', 'mutants', 'mutant', 'genetic', 'lipid', 'microbiology']",,2024-06-27,,,,,,,,cc_no,
Using normative models pre-trained on cross-sectional data to evaluate longitudinal changes in neuroimaging data,"Longitudinal neuroimaging studies offer valuable insight into intricate dynamics of brain development, ageing, and disease progression over time. However, prevailing analytical approaches rooted in our understanding of population variation are primarily tailored for cross-sectional studies. To fully harness the potential of longitudinal neuroimaging data, we have to develop and refine methodologies that are adapted to longitudinal designs, considering the complex interplay between population variation and individual dynamics.

We build on normative modelling framework, which enables the evaluation of an individuals position compared to a population standard. We extend this framework to evaluate an individuals longitudinal change compared to the longitudinal change reflected by the (population) standard dynamics. Thus, we exploit the existing normative models pre-trained on over 58,000 individuals and adapt the framework so that they can also be used in the evaluation of longitudinal studies. Specifically, we introduce a quantitative metric termed ""z-diff"" score, which serves as an indicator of a temporal change of an individual compared to a population standard. Notably, our framework offers advantages such as flexibility in dataset size and ease of implementation.

To illustrate our approach, we applied it to a longitudinal dataset of 98 patients diagnosed with early-stage schizophrenia who underwent MRI examinations shortly after diagnosis and one year later.

Compared to cross-sectional analyses, which showed global thinning of grey matter at the first visit, our method revealed a significant normalisation of grey matter thickness in the frontal lobe over time. Furthermore, this result was not observed when using more traditional methods of longitudinal analysis, making our approach more sensitive to temporal changes.

Overall, our framework presents a flexible and effective methodology for analysing longitudinal neuroimaging data, providing insights into the progression of a disease that would otherwise be missed when using more traditional approaches.","['neuroimaging', 'trained', 'evaluate', 'data', 'normative', 'neuroimaging', 'analysing', 'mri', 'schizophrenia', 'insights', 'neuroscience']",,2024-06-22,,,,,,,,cc_by_nc,
Acute targeted induction of gut-microbial metabolism affects host clock genes and nocturnal feeding,"The gut microbiota and host circadian clock mutually influence each other, and microbiota metabolism has been shown to play a role in regulating host circadian function via secretion of fermentation products. Microbial metabolism is dependent on the availability of nutrients for the microbiota, typically through the hosts food intake, making it challenging to disentangle the effect of host and microbiota metabolism. In this study, we acutely induced gut microbial metabolic activity without inducing host metabolism in mice. We found that increasing microbial metabolism in the gut altered circadian clock gene expression locally. Actuating microbiota metabolism also reduced host food intake beyond the calories provided by the microbiota, suggesting a systemic signaling effect of microbial metabolism on the host.","['feeding', 'genes', 'nocturnal', 'microbial', 'metabolism', 'microbiota', 'microbial', 'fermentation', 'metabolism', 'food', 'microbiology']",,2024-06-21,,,,,,,,cc_by_nc_nd,
"Histone chaperone HIRA, Promyelocytic Leukemia (PML) protein and p62/SQSTM1 coordinate to regulate inflammation during cell senescence.","Cellular senescence, a stress-induced stable proliferation arrest associated with an inflammatory Senescence-Associated Secretory Phenotype (SASP), is a cause of aging. In senescent cells, Cytoplasmic Chromatin Fragments (CCFs) activate SASP via the anti-viral cGAS/STING pathway. PML protein organizes PML nuclear bodies (NBs), also involved in senescence and anti-viral immunity. The HIRA histone H3.3 chaperone localizes to PML NBs in senescent cells. Here, we show that HIRA and PML are essential for SASP expression, tightly linked to HIRAs localization to PML NBs. Inactivation of HIRA does not directly block expression of NF-{kappa}B target genes. Instead, an H3.3-independent HIRA function activates SASP through a CCF-cGAS-STING-TBK1-NF-{kappa}B pathway. HIRA physically interacts with p62/SQSTM1, an autophagy regulator and negative SASP regulator. HIRA and p62 co-localize in PML NBs, linked to their antagonistic regulation of SASP, with PML NBs controlling their spatial configuration. These results outline a role for HIRA and PML in regulation of SASP.","['leukemia', 'inflammation', 'cell', 'protein', 'histone', 'aging', 'autophagy', 'cytoplasmic', 'proliferation', 'cellular', 'cell biology']",,2024-06-25,,,,,,,,cc_no,
Transcriptomics Reveals Tumorigenesis and Pathogen Response in Scombrid Puffy Snout Syndrome,"Scombrids represent some of the most economically important fisheries globally. However, increased interest in creating aquaculture systems for these fish has also increased the risk for disease emergence. One such disease, Puffy Snout Syndrome (PSS), causes collagenous tissue growths on the face in numerous scombrid taxa. PSS has mainly been documented in captive-held fish populations and can lead to high mortality rates. Despite this, little is known about the causative agent(s) of PSS and the immune response they elicit. Therefore, we leveraged metatranscriptomic data of PSS symptomatic-captive, asymptomatic-captive, and healthy-wild Pacific Mackerel (Scomber japonicus) to evaluate the physiological characteristics of PSS infections and identify a potential mechanism of disease. Captive symptomatic and asymptomatic mackerel showed distinct gene expression patterns from their wild counterparts. Genes involved in tumorigenesis, immune response, and tissue remodeling were overexpressed in captive-held fish. WNT9 was the most overexpressed gene in captive groups, and the WNT signaling pathway itself showed a ~3 fold increase in KEGG pathway enrichment analysis in captive animals. When captive fish were compared, asymptomatic fish showed lower expression of inflammation genes, but high expression of tumor suppressor genes compared to symptomatic-captive fish. Together, these host pathophysiological data and our past visual identification of RNA virus-like particles in afflicted tissues suggest that viral-mediated oncogenesis may be driving PSS in captive mackerel.","['tumorigenesis', 'transcriptomics', 'pathogen', 'scombrid', 'syndrome', 'aquaculture', 'fisheries', 'fish', 'viral', 'tumorigenesis', 'genomics']",,2024-06-26,,,,,,,,cc_by_nd,
SynBot: An open-source image analysis software for automated quantification of synapses,"The formation of precise numbers of neuronal connections, known as synapses, is crucial for brain function. Therefore, synaptogenesis mechanisms have been one of the main focuses of neuroscience. Immunohistochemistry is a common tool for visualizing synapses. Thus, quantifying the numbers of synapses from light microscopy images enables screening the impacts of experimental manipulations on synapse development. Despite its utility, this approach is paired with low throughput analysis methods that are challenging to learn and results are variable between experimenters, especially when analyzing noisy images of brain tissue. We developed an open-source ImageJ-based software, SynBot, to address these technical bottlenecks by automating the analysis. SynBot incorporates the advanced algorithms ilastik and SynQuant for accurate thresholding for synaptic puncta identification, and the code can easily be modified by users. The use of this software will allow for rapid and reproducible screening of synaptic phenotypes in healthy and diseased nervous systems.

MotivationLight microscopy imaging of pre- and post-synaptic proteins from neurons in tissue or in vitro allows for the effective identification of synaptic structures. Previous methods for quantitative analysis of these images were time-consuming, required extensive user training, and the source code could not be easily modified. Here, we describe SynBot, a new open-source tool that automates the synapse quantification process, decreases the requirement for user training, and allows for easy modifications to the code.","['synbot', 'software', 'synapses', 'automated', 'open', 'neuroscience', 'neuronal', 'immunohistochemistry', 'algorithms', 'synaptogenesis', 'neuroscience']",,2024-06-24,,,,,,,,cc_no,
Increasing adult neurogenesis protects mice from epilepsy.,"Neurogenesis occurs in the adult brain in the hippocampal dentate gyrus, an area that contains neurons which are vulnerable to insults and injury, such as severe seizures. Previous studies showed that increasing adult neurogenesis reduced neuronal damage after these seizures. Because the damage typically is followed by chronic life-long seizures (epilepsy), we asked if increasing adult neurogenesis would prevent epilepsy. Adult neurogenesis was selectively increased by deleting the pro-apoptotic gene Bax from Nestin-expressing progenitors. Tamoxifen was administered at 6 weeks of age to conditionally delete Bax in Nestin-CreERT2Baxfl/fl mice. Six weeks after tamoxifen administration, severe seizures (status epilepticus; SE) were induced by injection of the convulsant pilocarpine. After mice developed epilepsy, seizure frequency was quantified for 3 weeks. Mice with increased adult neurogenesis exhibited fewer chronic seizures. Postictal depression was reduced also. These results were primarily in female mice, possibly because they were the more affected by Bax deletion than males, consistent with sex differences in Bax. The female mice with enhanced adult neurogenesis also showed less neuronal loss of hilar mossy cells and hilar somatostatin-expressing neurons than wild type females or males, which is notable because these two hilar cell types are implicated in epileptogenesis. The results suggest that selective Bax deletion to increase adult neurogenesis can reduce experimental epilepsy, and the effect shows a striking sex difference. The results are surprising in light of past studies showing that suppressing adult-born neurons can also reduce chronic seizures.","['epilepsy', 'mice', 'neurogenesis', 'adult', 'protects', 'epilepsy', 'neurogenesis', 'epileptogenesis', 'hippocampal', 'somatostatin', 'neuroscience']",,2024-06-20,,,,,,,,cc_by_nc_nd,
Deep Mutational Scanning in Disease-related Genes with Saturation Mutagenesis-Reinforced Functional Assays (SMuRF),"Interpretation of disease-causing genetic variants remains a challenge in human genetics. Current costs and complexity of deep mutational scanning methods hamper crowd-sourcing approaches toward genome-wide resolution of variants in disease-related genes. Our framework, Saturation Mutagenesis-Reinforced Functional assays (SMuRF), addresses these issues by offering simple and cost-effective saturation mutagenesis, as well as streamlining functional assays to enhance the interpretation of unresolved variants. Applying SMuRF to neuromuscular disease genes FKRP and LARGE1, we generated functional scores for all possible coding single nucleotide variants, which aid in resolving clinically reported variants of uncertain significance. SMuRF also demonstrates utility in predicting disease severity, resolving critical structural regions, and providing training datasets for the development of computational predictors. Our approach opens new directions for enabling variant-to-function insights for disease genes in a manner that is broadly useful for crowd-sourcing implementation across standard research laboratories.","['genes', 'mutagenesis', 'disease', 'mutational', 'assays', 'genetics', 'genetic', 'mutagenesis', 'genome', 'genes', 'genetics']",,2024-06-25,,,,,,,,cc_by_nd,
Reactivating and Reorganizing Activity-Silent Working Memory Through Two Distinct Mechanisms After Pinging the Brain,"Recent studies have proposed that visual information can be maintained in an activity-silent state during working memory (WM), which can be reactivated by task-irrelevant high-contrast visual impulses (i.e., ""pinging the brain""). Although pinging the brain has become a popular tool for exploring activity-silent WM in recent years, its underlying mechanisms remain unclear. In the current study, we directly compared the behavioral consequences and neural reactivation effects of context-independent and context-dependent pings to distinguish the noise-reduction and target-interaction hypotheses of pinging the brain. At first, in a behavioral study, we found that, compared with the baseline condition (no ping), only the horizontal context-dependent pings impaired recall performance. In a follow-up electroencephalogram study, our neural decoding results showed that the context-independent pings reactivated activity-silent WM transiently without changing the original WM representations or recall performance. In contrast, the context-dependent pings reactivated activity-silent WM more durably and further reorganized WM information by decreasing the dynamics of items neural representations. Notably, only the reactivation strength of the context-dependent pings correlated with recall performance and was modulated by the location of memorized items, with neural representations only being reactivated when both items and pings were presented horizontally. Together, our results provided evidence for two distinct mechanisms underlying pinging the brain, and the pings context played a critical role in reactivating and reorganizing activity-silent WM.","['memory', 'brain', 'reorganizing', 'pinging', 'silent', 'electroencephalogram', 'decoding', 'neural', 'behavioral', 'memory', 'neuroscience']",,2024-06-25,,,,,,,,cc_by_nc_nd,
Reference genome of the ant Lasius platythorax,"Ants are a highly diversified insect family of the order Hymenoptera, with many fascinating characteristics such as eusociality, chemical communication, farming, or social parasitism. Moreover, ants frequent a wide variety of habitats from dry deserts, grasslands, and savannas to cold temperate forests. The ability of ants to inhabit such diverse habitat ranges demonstrates their adaptability and ecological resilience. However, little is known about the genetic underpinnings of this vast array of traits and their adaptive potential. Here, we generated a high-quality genome assembly for the ant species Lasius platythorax using long-read PacBio HiFi in combination with chromatin conformation capture (Hi-C) sequencing. We successfully assembled the genome into 15 chromosome-level scaffolds ranging from 7.9 to 19.2 Mb and encompassing 204.6 Mb out of 235.3 Mb (total assembly), and a BUSCO score of 86% (Hymenoptera_odb10). Comparative genomics between the two sister species will provide insights into the genomic basis of trait differentiation.","['ant', 'genome', 'platythorax', 'lasius', 'reference', 'ants', 'ant', 'genomics', 'hymenoptera_odb10', 'genome', 'genomics']",,2024-06-20,,,,,,,,cc_by_nc_nd,
Contextual AI models for single-cell protein biology,"Understanding protein function and developing molecular therapies require deciphering the cell types in which proteins act as well as the interactions between proteins. However, modeling protein interactions across biological contexts remains challenging for existing algorithms. Here, we introduce PINNACLE, a geometric deep learning approach that generates context-aware protein representations. Leveraging a multi-organ single-cell atlas, PINNACLE learns on contextualized protein interaction networks to produce 394,760 protein representations from 156 cell type contexts across 24 tissues. PINNACLE's embedding space reflects cellular and tissue organization, enabling zero-shot retrieval of the tissue hierarchy. Pretrained protein representations can be adapted for downstream tasks: enhancing 3D structure-based representations for resolving immuno-oncological protein interactions, and investigating drugs' effects across cell types. PINNACLE outperforms state-of-the-art models in nominating therapeutic targets for rheumatoid arthritis and inflammatory bowel diseases, and pinpoints cell type contexts with higher predictive capability than context-free models. PINNACLE's ability to adjust its outputs based on the context in which it operates paves way for diverse large-scale context-specific predictions in biology.","['biology', 'protein', 'ai', 'cell', 'contextual', 'biology', 'algorithms', 'proteins', 'molecular', 'protein', 'bioinformatics']",,2024-06-27,,,,,,,,cc_by,
Effects of psychedelics on neurogenesis and brain plasticity: A systematic review,"In the mammalian brain, new neurons continue to be generated throughout life in a process known as adult neurogenesis. The role of adult-generated neurons has been broadly studied across laboratories, and mounting evidence suggests a strong link to the HPA axis and concomitant malfunctions in patients diagnosed with mood disorders. Psychedelic compounds, such as phenethylamines, tryptamines, cannabinoids, and a variety of ever-growing chemical categories, have emerged as therapeutic options for neuropsychiatric disorders, while numerous reports link their effects to increased adult neurogenesis. In this systematic review, we examine studies assessing neurogenesis or neurogenesis-associated brain plasticity after psychedelic interventions and aim to provide a comprehensive picture of how this vast category of compounds regulates the generation of new neurons. We conducted a literature search on PubMed and Science Direct databases, considering all articles published until January 31, 2023, and selected articles containing both the words ""neurogenesis"" and ""psychedelics"". We analyzed experimental studies using either in vivo or in vitro models, employing classical or atypical psychedelics at all ontogenetic windows, as well as human studies referring to neurogenesis-associated plasticity. Of a total of 205 articles, 68 met all the necessary conditions for further review. Our findings were divided into five main categories of psychedelics: CB1 agonists, NMDA antagonists, harmala alkaloids, tryptamines, and entactogens. We described the outcomes of neurogenesis assessments and investigated related results on the effects of psychedelics on brain plasticity and behavior within our sample. In summary, this review presents an extensive study into how different psychedelics may affect the birth of new neurons and other brain-related processes. Such knowledge may be valuable for future research on novel therapeutic strategies for neuropsychiatric disorders.","['psychedelics', 'neurogenesis', 'brain', 'review', 'plasticity', 'neuropsychiatric', 'neurogenesis', 'psychedelics', 'mammalian', '2023', 'neuroscience']",,2024-06-24,,,,,,,,cc_by_nd,
Cross-transmission of resistant gastrointestinal nematodes between wildlife and transhumant sheep,"Wild and domestic ungulates can be infected with the same species of gastrointestinal parasitic nematodes. These parasites have free-living stages in the environment that contribute to the ease of transmission among different host species. In addition, gastrointestinal nematodes have developed resistance to anthelmintics which is now considered a major problem for the livestock sector. In a context where wild and domestic ungulates share the same pastures, the maintenance and circulation of resistant gastrointestinal nematodes between species have rarely been explored.

In the European Alps, domestic sheep are driven to high-altitude summer pastures and live in sympatry with wild ungulates for several months each year. In this study, we investigated the nemabiome of domestic sheep and Alpine ibex, Capra ibex, in three different areas of the French Alps to evaluate parasite circulation between the two host species. The Alpine ibex is a protected mountain ungulate that is phylogenetically related to sheep and hosts nematode species common to sheep.

Using internal transcribed spacer 2 (ITS-2) nemabiome metabarcoding, we found sheep and ibex share similar gastrointestinal nematodes, except for a few species such as Marshallagia marshalli and Trichostrongylus axei. This suggests that the long-term co-occurrence of sheep and ibex on mountain pastures has promoted the exchange of gastrointestinal nematodes between the two hosts. Based on the sequencing of the isotype 1 of the beta tubulin gene, associated with benzimidazole resistance, we found resistant nematodes in all sheep flocks and in all ibex populations. Our results demonstrated that ibex can host and shed resistant strains before transhumant sheep arrive on pastures, and thus could act as refuge or even contribute to maintain resistant gastrointestinal nematodes. The relative role of ibex in the maintenance and circulation of resistant strains in sheep remain to be determined.","['sheep', 'gastrointestinal', 'wildlife', 'transhumant', 'nematodes', 'sheep', 'livestock', 'gastrointestinal', 'parasites', 'parasite', 'ecology']",,2024-06-21,,,,,,,,cc_by_nc_nd,
EEG-fMRI in awake rat and whole-brain simulations show decreased brain responsiveness to sensory stimulations during absence seizures,"In patients suffering absence epilepsy, recurring seizures can significantly decrease their quality of life and lead to yet untreatable comorbidities. Absence seizures are characterized by spike-and- wave discharges on the electroencephalogram associated with a transient alteration of consciousness. However, it is still unknown how the brain responds to external stimuli during and outside of seizures.

This study aimed to investigate responsiveness to visual and somatosensory stimulation in GAERS, a well-established rat model for absence epilepsy. Animals were imaged under non-curarized awake state using a quiet, zero-echo-time, functional magnetic resonance imaging (fMRI) sequence. Sensory stimulations were applied during interictal and ictal periods. Whole brain hemodynamic responses were compared between these two states. Additionally, a mean-field simulation model was used to explain the changes of neural responsiveness to visual stimulation between states.

During a seizure, whole-brain responses to both sensory stimulations were suppressed and spatially hindered. In the cortex, hemodynamic responses were negatively polarized during seizures, despite the application of a stimulus. The mean-field simulation revealed restricted propagation of activity due to stimulation and agreed well with fMRI findings. Results suggest that sensory processing is hindered or even suppressed by the occurrence of an absence seizure, potentially contributing to decreased responsiveness during this absence epileptic process.","['seizures', 'rat', 'decreased', 'fmri', 'absence', 'epilepsy', 'epileptic', 'seizures', 'electroencephalogram', 'comorbidities', 'neuroscience']",,2024-06-24,,,,,,,,cc_by_nc_nd,
Incremental Self-Organization of Spatio-Temporal Spike Pattern Detection,"Brains learn new information while retaining already acquired contents. It is not known by what mechanisms synapses preserve previously stored memories while they are plastic and contribute to further learning. To understand how this notorious stability-plasticity dilemma might be resolved, we investigate a one layer self-supervised neural network that incrementally learns to detect new spatio-temporal spike patterns without loosing existing selectivities. A plausible combination of Hebbian mechanisms, hetero-synaptic plasticity, and synaptic scaling enables unsupervised learning of spatio-temporal input patterns by single neurons. In networks acquisition of different patterns one after the other is achieved by including pre-synaptic hetero-synaptic plasticity which enforces differentiation of the neurons selectivities. We found, however, that only when additionally the training spikes are both, jittered and stochastic past memories persist despite ongoing learning. This input variability selects a subset of weights and drives them into a regime where synaptic scaling induces self-stabilization. Thereby our model provides a novel explanation for the stability of synapses related to preexisting contents despite ongoing plasticity, and suggests how nervous systems could incrementally learn and exploit temporally precise Poisson rate codes.

Significance StatementActivity-dependent changes in synaptic efficacy are thought to underlie learning. While ongoing synaptic plasticity is necessary for learning new content, it is detrimental to the traces of previously acquired memories. Here, we show how memories for spatio-temporal patterns can be protected from overwriting. A combination of biologically plausible synaptic plasticity mechanisms turns single neurons into robust detectors of statistically dominant input patterns. For networks, we find that memory stability is achieved when the patterns to be learned are temporally sloppy and noisy, as opposed to being frozen. This variability drives the relevant synaptic weights to large efficacies, where they become self-reinforcing and continue to support the initially learned patterns. As a result, such a network can incrementally learn one pattern after another.","['detection', 'incremental', 'pattern', 'temporal', 'spike', 'neural', 'learning', 'neurons', 'memories', 'memory', 'neuroscience']",,2024-06-20,,,,,,,,cc_by_nc_nd,
Saponin Nanoparticle Adjuvants Incorporating Toll-Like Receptor Agonists Drive Distinct Immune Signatures and Potent Vaccine Responses,"Over the past few decades, the development of potent and safe immune-activating adjuvant technologies has become the heart of intensive research in the constant fight against highly mutative and immune evasive viruses such as influenza, SARS-CoV-2, and HIV. Herein, we developed a highly modular saponin-based nanoparticle platform incorporating toll-like receptor agonists (TLRas) including TLR1/2a, TLR4a, TLR7/8a adjuvants and their mixtures. These various TLRa-SNP adjuvant constructs induce unique acute cytokine and immune-signaling profiles, leading to specific Th-responses that could be of interest depending on the target disease for prevention. In a murine vaccine study, the adjuvants greatly improved the potency, durability, breadth, and neutralization of both COVID-19 and HIV vaccine candidates, suggesting the potential broad application of these adjuvant constructs to a range of different antigens. Overall, this work demonstrates a modular TLRa-SNP adjuvant platform which could improve the design of vaccines for and dramatically impact modern vaccine development.","['vaccine', 'nanoparticle', 'receptor', 'immune', 'potent', 'vaccines', 'decades', 'vaccine', 'viruses', 'influenza', 'bioengineering']",,2024-06-27,,,,,,,,cc_no,
A conserved odorant receptor underpins borneol-mediated repellency in culicine mosquitoes,"The use of essential oils derived from the camphor tree to repel mosquitoes is an ancient practice that originated in Southeast Asia and gradually spread to China and across Europe via the Maritime Silk Road. The olfactory mechanisms by which these oils elicit avoidance behavior are unclear. Here we show that plant bicyclic monoterpenoids and borneol specifically activate a neural pathway that originates in the orphan olfactory receptor neuron of the capitate peg sensillum in the maxillary palp, and projects to the mediodorsal glomerulus 3 in the antennal lobe. This neuron co-locates with two olfactory receptor neurons tuned to carbon dioxide and octenol that mediate human-host detection. We also confirm that borneol elicits repellency against human-seeking female mosquitoes. Understanding the functional role of the mosquito maxillary palp is essential to investigating olfactory signal integration and host-selection behavior.","['mosquitoes', 'odorant', 'receptor', 'repellency', 'culicine', 'mosquitoes', 'mosquito', 'china', 'silk', 'tree', 'evolutionary biology']",,2024-06-20,,,,,,,,cc_by_nc_nd,
